2022/03/28 08:35:53 - DEBUG - 38 - create_dir - Succeed in creating directory: data/netcore
2022/03/28 09:04:23 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/364/cid/12.html HTTP/1.1" 200 4479
2022/03/28 09:04:23 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:23 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/365/cid/12.html HTTP/1.1" 200 2513
2022/03/28 09:04:23 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:24 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/369/cid/12.html HTTP/1.1" 200 4521
2022/03/28 09:04:24 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:24 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/371/cid/12.html HTTP/1.1" 200 2478
2022/03/28 09:04:24 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:25 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/375/cid/12.html HTTP/1.1" 200 4484
2022/03/28 09:04:25 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:26 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/380/cid/12.html HTTP/1.1" 200 4564
2022/03/28 09:04:26 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:26 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/395/cid/12.html HTTP/1.1" 200 4574
2022/03/28 09:04:26 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:27 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/407/cid/12.html HTTP/1.1" 200 4594
2022/03/28 09:04:27 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:28 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/408/cid/12.html HTTP/1.1" 200 4614
2022/03/28 09:04:28 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:28 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/413/cid/12.html HTTP/1.1" 200 2652
2022/03/28 09:04:28 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:29 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/414/cid/12.html HTTP/1.1" 200 2615
2022/03/28 09:04:29 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:30 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/415/cid/12.html HTTP/1.1" 200 4575
2022/03/28 09:04:30 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:31 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/416/cid/12.html HTTP/1.1" 200 4582
2022/03/28 09:04:31 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:31 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/417/cid/12.html HTTP/1.1" 200 4592
2022/03/28 09:04:31 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:32 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/418/cid/12.html HTTP/1.1" 200 4479
2022/03/28 09:04:32 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
