2022/03/28 09:43:05 - DEBUG - 38 - create_dir - Succeed in creating directory: data/mi
2022/03/28 09:43:49 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1350STA&callback=jQuery151046255987853406944_1648431828410&_=1648431828410 HTTP/1.1" 200 None
2022/03/28 09:43:49 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:50 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R2350STA&callback=jQuery151009647647110340274_1648431829518&_=1648431829518 HTTP/1.1" 200 None
2022/03/28 09:43:50 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:51 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RA70STA&callback=jQuery151006043422637301592_1648431830360&_=1648431830360 HTTP/1.1" 200 None
2022/03/28 09:43:51 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:51 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RA81STA&callback=jQuery151031371022927712366_1648431831175&_=1648431831175 HTTP/1.1" 200 None
2022/03/28 09:43:51 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:52 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RA80STA&callback=jQuery151000761573301799875_1648431831917&_=1648431831917 HTTP/1.1" 200 None
2022/03/28 09:43:52 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:53 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RB03STA&callback=jQuery151035177847875684864_1648431832567&_=1648431832567 HTTP/1.1" 200 None
2022/03/28 09:43:53 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:54 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RA71STA&callback=jQuery151006686798763413528_1648431833232&_=1648431833232 HTTP/1.1" 200 None
2022/03/28 09:43:54 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:54 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RA70DEV&callback=jQuery151013860666834764024_1648431834151&_=1648431834151 HTTP/1.1" 200 None
2022/03/28 09:43:54 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:55 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RB04STA&callback=jQuery151005650461184115609_1648431834939&_=1648431834939 HTTP/1.1" 200 None
